apt_name,price,address,station_distance,area,floor_plan,balcony,year
ライオンズマンション護国寺第三,5680万円,東京都文京区音羽２,東京メトロ有楽町線「護国寺」徒歩1分,46.2m2（壁芯）,2LDK,6.6m2,1984年6月
三田綱町ハイツ,5680万円,東京都港区三田２,東京メトロ南北線「麻布十番」徒歩5分,46.93m2（壁芯）,1LDK+S（納戸）,6.3m2,1970年9月
ユニーブル白金台,5680万円,東京都港区白金台２,都営浅草線「高輪台」徒歩5分,47.11m2（14.25坪）（壁芯）,1LDK,-,1981年10月
イトーピア音羽,5680万円,東京都文京区音羽１-１６－２,東京メトロ有楽町線「護国寺」徒歩3分,53.99m2（16.33坪）（壁芯）,1LDK,4.06m2,1985年9月
ジェイパーク恵比寿弐番館,5750万円,東京都渋谷区恵比寿２,ＪＲ山手線「恵比寿」徒歩11分,48.43m2（壁芯）,1LDK+S（納戸）,-,1997年3月
朝日白山マンション,5780万円,東京都文京区白山１,都営三田線「白山」徒歩1分,48.31m2,3DK,6.54m2,1985年5月
秀和代官山レジデンス,5780万円,東京都渋谷区猿楽町９番５号,東急東横線「代官山」徒歩5分,37.31m2（壁芯）,1DK,3.3m2,1972年4月
六義園第８コーポ,5790万円,東京都文京区本駒込６-15-19,ＪＲ山手線「駒込」徒歩6分,54.5m2（16.48坪）（壁芯）,2LDK,11.32m2,1976年3月
バロール代々木,5799万円,東京都渋谷区代々木２,ＪＲ山手線「代々木」徒歩5分,55.04m2（壁芯）,2LDK,6.54m2,1980年11月
三田スカイハイツ,5880万円,東京都港区三田２,東京メトロ南北線「麻布十番」徒歩10分,48.16m2（壁芯）,1LDK,6.18m2,1977年10月
レックス四谷マンション,5899万円,東京都新宿区若葉１,東京メトロ丸ノ内線「四ツ谷」徒歩8分,58.81m2（壁芯）,2LDK,6.11m2,1973年3月
ウエリス渋谷本町　築浅中古マンション　4階　南西角部…,5977万円,東京都渋谷区本町４-49-12,都営大江戸線「西新宿五丁目」徒歩8分,56.04m2（16.95坪）（壁芯）,2LDK,11.7m2,2016年9月
プレシス東神田,5980万円,東京都千代田区東神田１,ＪＲ総武線快速「馬喰町」徒歩5分,39.72m2（壁芯）,1LDK,3.96m2,2012年3月
シティハウス西大久保,5980万円,東京都新宿区大久保２,東京メトロ副都心線「西早稲田」徒歩4分,61.59m2（壁芯）,3LDK,3.23m2,1981年8月
ピアース新宿三丁目,5980万円,東京都新宿区新宿５,東京メトロ丸ノ内線「新宿三丁目」徒歩6分,31.65m2（9.57坪）（壁芯）,1LDK,3.61m2,2023年1月
クオリア小石川,5998万円,東京都文京区小石川２,都営三田線「春日」徒歩3分,44.99m2（壁芯）,ワンルーム,3.76m2,2003年4月
ドム南青山,5998万円,東京都港区南青山３-３-１０,東京メトロ銀座線「表参道」徒歩9分,48.22m2（14.58坪）（壁芯）,2LDK,8.91m2,1978年11月
護国寺ロイアルハイツ,5999万円,東京都文京区大塚５,東京メトロ丸ノ内線「新大塚」徒歩5分,55.53m2,2LDK,6.05m2,1982年12月
護国寺ロイアルハイツ,5999万円,東京都文京区大塚５,東京メトロ有楽町線「護国寺」徒歩5分,55.53m2（壁芯）,2LDK,6.05m2,1982年12月
レックス四谷マンション,5999万円,東京都新宿区若葉１,ＪＲ総武線「四ツ谷」徒歩8分,58.81m2（壁芯）,2LDK,6.11m2,1973年3月
レックス勝どきプレミアレジデンス,6080万円,東京都中央区勝どき４,都営大江戸線「勝どき」徒歩3分,43.12m2（壁芯）,1LDK+S（納戸）,-,2012年5月
ライオンズマンション原宿,6080万円,東京都渋谷区千駄ヶ谷３-７－１４,東京メトロ副都心線「北参道」徒歩5分,45.78m2（壁芯）,1LDK,5.6m2,1983年7月
